nft_collection_name,nft_type,verified,tradeport_url
Suiark,0xda9cfdf2a4a1217b000434125cc692900c35a38aae2dac4a69318fd55880a234,True,https://www.tradeport.xyz/sui/collection/0xda9cfdf2a4a1217b000434125cc692900c35a38aae2dac4a69318fd55880a234
Sub1K,0x9041aa11cd874ee87fa6f1c89ed9571c17c587cc64aafed0ddc12e2d2cd6a8c2::collection::Sub1K,True,https://www.tradeport.xyz/sui/collection/0x9041aa11cd874ee87fa6f1c89ed9571c17c587cc64aafed0ddc12e2d2cd6a8c2::collection::Sub1K
Wizard Land,0x81163458f159e8d0061463d4a0690eeaeb58c2cd411d9e2f21d049af84a39cfe,True,https://www.tradeport.xyz/sui/collection/0x81163458f159e8d0061463d4a0690eeaeb58c2cd411d9e2f21d049af84a39cfe
Stork,0x5f1fa51a6d5c52df7dfe0ff7efaab7cc769d81e51cf208a424e455575aa1ed7a,True,https://www.tradeport.xyz/sui/collection/0x5f1fa51a6d5c52df7dfe0ff7efaab7cc769d81e51cf208a424e455575aa1ed7a
Occult Multi,0x727d9fe5194261aa6429f577d0df3f12cfdb3bb0512bf9500a197d7b2d40e29e,True,https://www.tradeport.xyz/sui/collection/0x727d9fe5194261aa6429f577d0df3f12cfdb3bb0512bf9500a197d7b2d40e29e
Dare Dragon Egg,0x34db0e1c931a35abf2cf30d28b4dbf97ea4a98e199a8bc228d1e095bfdc688da,True,https://www.tradeport.xyz/sui/collection/0x34db0e1c931a35abf2cf30d28b4dbf97ea4a98e199a8bc228d1e095bfdc688da
Plum room,0xb62a97ba44711af24f9d3e629c5c71888d93be325e74916815767712ab03c177,True,https://www.tradeport.xyz/sui/collection/0xb62a97ba44711af24f9d3e629c5c71888d93be325e74916815767712ab03c177
Rootlets Mint Ticket,0x8f74a7d632191e29956df3843404f22d27bd84d92cca1b1abde621d033098769::rootlet::Pass,True,https://www.tradeport.xyz/sui/collection/0x8f74a7d632191e29956df3843404f22d27bd84d92cca1b1abde621d033098769::rootlet::Pass
PanzerMerch,0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::panzermerch,True,https://www.tradeport.xyz/sui/collection/0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::panzermerch
Panzerdogs Cyberpill V2,0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::cyberpills::Cyberpill,True,https://www.tradeport.xyz/sui/collection/0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::cyberpills::Cyberpill
Panzerdogs Merch V2,0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::merch::Merch,True,https://www.tradeport.xyz/sui/collection/0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::merch::Merch
Colour>,0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::panzerdog_equipment,True,https://www.tradeport.xyz/sui/collection/0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::panzerdog_equipment
Cyberpill,0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::cyberpills,True,https://www.tradeport.xyz/sui/collection/0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::cyberpills
Walrus Airdrop NFT,0x98af8b8fde88f3c4bdf0fcedcf9afee7d10f66d480b74fb5a3a2e23dc7f5a564,True,https://www.tradeport.xyz/sui/collection/0x98af8b8fde88f3c4bdf0fcedcf9afee7d10f66d480b74fb5a3a2e23dc7f5a564
